image_path,source_path,split,trade_label,action,decision_state,execution_permission,label_quality,review_bucket,review_priority,review_reasons,timing_label,raw_projection_direction,raw_next_box_direction,effective_projection_direction,effective_next_box_direction,projection_confidence,projection_dominance,next_box_confidence,structure_setup
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\BUY\00077_000_11a2b3124779.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230103_175248.png,val,BUY,HOLD,,,contradictory,projection_conflict,0.9074,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5459,0.1908,0.7130,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00180_000_d80641537ca4.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-02 201818.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9068,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5456,0.1805,0.7175,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00217_002_34bb989bd332.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2024-08-09 063309.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9039,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5411,0.1797,0.7112,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00091_001_1ba36ea34756.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230130_133613.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9037,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5407,0.1790,0.7109,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00218_000_302c7fb5c29f.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2024-08-09 065522.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9037,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5408,0.1790,0.7110,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00111_000_7d3460e37838.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230217_204845.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9034,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5398,0.1854,0.7066,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00113_000_068fdba11a49.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230220_134549.png,test,BUY,HOLD,,,contradictory,projection_conflict,0.9033,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5399,0.1818,0.7085,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00181_000_538c526f21e2.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-02 211535.png,test,SELL,HOLD,,,contradictory,projection_conflict,0.9030,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5396,0.1786,0.7095,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00037_001_40c63e46f685.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2024-09-27 100529.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9018,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5380,0.1748,0.7089,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00127_000_345b015cb016.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\GBPUSD IQ Trade 22.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9018,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5379,0.1750,0.7087,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00108_000_0e49e89d769a.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230216_203348.png,test,BUY,HOLD,,,contradictory,projection_conflict,0.9017,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5377,0.1747,0.7086,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00018_000_567644cd094d.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2023-03-21 014618.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9017,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5380,0.1708,0.7107,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00178_000_9557fda94a99.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-02 155115.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9016,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5376,0.1748,0.7083,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00217_001_23ab7d7875d7.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2024-08-09 063240.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9015,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5376,0.1735,0.7089,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00109_000_492c454e71c8.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230216_203822.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9014,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5374,0.1738,0.7085,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00100_000_a14cda688731.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230202_202917.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9013,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5372,0.1739,0.7082,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00173_000_f9765498e5a9.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-01 053927.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9012,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5371,0.1735,0.7083,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00067_000_0cb50d07b1e2.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20221215_142743.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9011,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5369,0.1743,0.7074,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00091_000_54e503a3b618.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230130_103937.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9011,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5368,0.1742,0.7074,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00076_000_0b0c59061c44.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230103_074203.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9010,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5367,0.1750,0.7069,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00168_001_66c0300c5d29.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-01 052550.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9007,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5363,0.1734,0.7071,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00005_000_a7ba2fbf5555.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\AUDJPY Buy trade.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9003,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5354,0.1776,0.7038,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00033_000_58ecebc89098.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2024-08-27 064631.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9002,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5354,0.1743,0.7053,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00169_000_3477aa9197c2.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-01 052821.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9002,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5356,0.1717,0.7069,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00219_000_07b8860680fe.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2024-08-13 130341.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9002,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5355,0.1742,0.7054,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00110_001_9e1004b3c975.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230217_204910.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8999,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5350,0.1733,0.7052,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00220_001_92f880158761.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2024-08-13 130403.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.8999,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5350,0.1733,0.7052,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00068_000_5f81f59cde8b.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20221215_143814.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8994,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5342,0.1727,0.7043,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00110_000_85eb427f1ab6.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230217_204712.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8989,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5335,0.1709,0.7042,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00035_000_0acac24af57a.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2024-09-27 095528.png,test,BUY,HOLD,,,contradictory,projection_conflict,0.8987,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5330,0.1729,0.7025,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00096_001_113220bb0471.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230201_162815.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8987,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5332,0.1697,0.7042,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00096_000_84d88524dafa.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230201_162513.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8986,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5331,0.1696,0.7042,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\BUY\00043_000_91f77efcd6e6.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2025-01-07 065520.png,val,BUY,HOLD,,,contradictory,projection_conflict,0.8985,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5328,0.1728,0.7023,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00171_000_562a43014b8c.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-01 053243.png,test,SELL,HOLD,,,contradictory,projection_conflict,0.8984,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5328,0.1704,0.7033,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00114_000_c91d49bd125f.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230220_135847.png,test,BUY,HOLD,,,contradictory,projection_conflict,0.8981,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5325,0.1683,0.7039,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00095_000_fbbaeadb3205.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230201_162355.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8979,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5320,0.1689,0.7029,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00105_000_9bd5ed13415e.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230213_183225.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8975,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5313,0.1688,0.7019,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\BUY\00064_000_b68aa6e55021.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20221213_050418.png,val,BUY,HOLD,,,contradictory,projection_conflict,0.8974,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5312,0.1687,0.7018,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00060_000_0b12f575aaf1.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20221207_182531.png,train,BUY,HOLD,,,review_required,projection_conflict,0.8969,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5304,0.1702,0.6999,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\BUY\00112_000_234c0d22d2d2.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230217_204919.png,val,BUY,HOLD,,,contradictory,projection_conflict,0.8969,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5305,0.1675,0.7013,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\BUY\00101_000_784922bf46ed.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230203_090944.png,val,BUY,HOLD,,,contradictory,projection_conflict,0.8965,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5299,0.1661,0.7011,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00176_001_c99d9cfcef36.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-02 094026.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.8962,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5299,0.1592,0.7044,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00092_000_92a26b6eb229.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot_20230130_133716.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.8961,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5293,0.1652,0.7007,none
